Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Jerron Martin,Free Throw Made,,33-38,1 - 1:44,-5,,,
,,,,1 - 1:26,,William Robinson,Field Goal Attempt,
Marlon Jones,Blocked shot,,,1 - 1:25,,,,
Marlon Jones,Defensive Rebound,,,1 - 1:23,,,,
,,,,1 - 1:23,,Ke`von Rice,Defensive Foul,
,,,,1 - 1:23,,William Robinson,Left the Game,Marcus Johnson Jr. Entered the Game
Andre Horne,Free Throw Made,,34-38,1 - 1:23,-4,,,
Andre Horne,Free Throw Made,,35-38,1 - 1:23,-3,,,
,,Jerron Martin Defensive Rebound,,1 - 1:02,,Evan Moorman,Three Point Attempt,
Marlon Jones,Field Goal Made,,37-38,1 - 0:59,-1,,,
Jerron Martin,Assist,,,1 - 0:59,,,,
,,,,1 - 0:59,,Ke`von Rice,Defensive Foul,
Marlon Jones,Free Throw Made,,38-38,1 - 0:59,(T6),,,
,,Marlon Jones Defensive Rebound,,1 - 0:48,,Marcus Johnson Jr.,Field Goal Attempt,
Andre Horne,Three Point Attempt,,,1 - 0:17,,,,Hill College Defensive Rebound
,,,,1 - 0:03,,Evan Moorman,Three Point Attempt,Jemerrio Jones Offensive Rebound
,,,38-40,1 - 0:01,-2 (L10),Jemerrio Jones,Field Goal Made,
Jerron Martin,Left the Game,,,2 - 20:00,,,,
Pedro Konofino,Left the Game,,,2 - 20:00,,,,
Andre Horne,Left the Game,,,2 - 20:00,,,,
Marlon Jones,Left the Game,,,2 - 20:00,,,,
Lincoln Davis,Left the Game,,,2 - 20:00,,,,
,,,,2 - 20:00,,Evan Moorman,Left the Game,
,,,,2 - 20:00,,Marcus Johnson Jr.,Left the Game,
,,,,2 - 20:00,,Ke`von Rice,Left the Game,
,,,,2 - 20:00,,Jemerrio Jones,Left the Game,
,,,,2 - 20:00,,Kristian Keys,Left the Game,
0 Jerron Martin,Entered Game,,,,,,,
4 David Kadiri,Entered Game,,,,,,,
1 Andre Spight,Entered Game,,,,,,,
22 Brandon Neel,Entered Game,,,,,,,
15 Emmanuel Omogbo,Entered Game,,,,,,,
,,David Kadiri Defensive Rebound,,2 - 19:49,,Tyrell Bellot-Green,Field Goal Attempt,
Andre Spight,Three Point Made,,41-40,2 - 19:40,1 (L1),,,
Jerron Martin,Assist,,,2 - 19:39,,,,
