Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,54-38,2 - 15:43,16,TJ Evans,Three Point Made,
Christopher Boucher,Turnover,,,2 - 15:35,,,,
,,Daryle Morgan Defensive Rebound,,2 - 15:24,,TJ Evans,Three Point Attempt,
,,,,2 - 15:16,,Demetres Abrams,Defensive Foul,
William Desilien,Free Throw Made,,55-38,2 - 15:16,17,,,
William Desilien,Free Throw Made,,56-38,2 - 15:16,18,,,
,,,56-40,2 - 15:07,16,TJ Evans,Field Goal Made,
EJ Hubbard,Three Point Attempt,,,2 - 15:00,,,,TJ Evans Defensive Rebound
,,,,2 - 14:55,,TJ Evans,Field Goal Attempt,
EJ Hubbard,Blocked shot,,,2 - 14:54,,,,
Colin May,Left the Game,,,2 - 14:54,,,,
Daryle Morgan,Left the Game,Ammar Rehman Entered the Game,,2 - 14:54,,,,
Dan Milota,Entered the Game,,,2 - 14:54,,,,
,,,56-43,2 - 14:49,13,TJ Evans,Three Point Made,
,,,,2 - 14:48,,Demetres Abrams,Assist,
William Desilien,Field Goal Attempt,Dan Milota Offensive Rebound,,2 - 14:23,,,,
Dan Milota,Field Goal Attempt,,,2 - 14:20,,,,Cape Fear CC Defensive Rebound
Dan Milota,Defensive Foul,,,2 - 14:20,,,,
,,,,2 - 14:03,,Cordea Wilson,Turnover,
Christopher Boucher,Steal,,,2 - 14:02,,,,
Ammar Rehman,Turnover,,,2 - 13:58,,,,
,,,,2 - 13:57,,Cordea Wilson,Steal,
,,,56-45,2 - 13:53,11,TJ Evans,Field Goal Made,
,,,,2 - 13:53,,Cordea Wilson,Assist,
Christopher Boucher,Field Goal Attempt,,,2 - 13:23,,,,
,,,,2 - 13:21,,Cordea Wilson,Blocked shot,
EJ Hubbard,Offensive Rebound,,,2 - 13:18,,,,
,,,,2 - 13:15,,Demetres Abrams,Defensive Foul,
Ammar Rehman,Free Throw Attempt,,,2 - 13:15,,,,Aaron Thomas Defensive Rebound
,,,56-47,2 - 12:57,9,Anthony Vanhook,Field Goal Made,
,,,,2 - 12:57,,Aaron Thomas,Assist,
Christopher Boucher,Field Goal Made,,58-47,2 - 12:52,11,,,
William Desilien,Assist,,,2 - 12:51,,,,
,,,,2 - 12:37,,TJ Evans,Field Goal Attempt,Aaron Thomas Offensive Rebound
,,,58-50,2 - 12:33,8,Cordea Wilson,Three Point Made,
,,,,2 - 12:32,,Aaron Thomas,Assist,
Christopher Boucher,Three Point Made,,61-50,2 - 12:15,11,,,
William Desilien,Assist,,,2 - 12:14,,,,
,,EJ Hubbard Defensive Rebound,,2 - 11:52,,Anthony Vanhook,Field Goal Attempt,
Ammar Rehman,Field Goal Attempt,EJ Hubbard Offensive Rebound,,2 - 11:46,,,,
EJ Hubbard,Field Goal Attempt,,,2 - 11:44,,,,Cape Fear CC Defensive Rebound
Ammar Rehman,Left the Game,,,2 - 11:44,,,,
,,,,2 - 11:44,,Aaron Thomas,Left the Game,
,,,,2 - 11:44,,Cordea Wilson,Left the Game,Nate Sims Entered the Game
,,,,2 - 11:44,,Travis Barnes,Entered the Game,
Tyler Chandler,Entered the Game,,,2 - 11:44,,,,
Dan Milota,Defensive Foul,,,2 - 11:30,,,,
EJ Hubbard,Left the Game,,,2 - 11:30,,,,
Dan Milota,Left the Game,Daryle Morgan Entered the Game,,2 - 11:30,,,,
Colin May,Entered the Game,,,2 - 11:30,,,,
William Desilien,Left the Game,EJ Hubbard Entered the Game,,2 - 11:30,,,,
